   Elapsed time	   ECG1	   ECG2
   hh:mm:ss.mmm	   (mV)	   (mV)
       0:00.000	 -0.035	 -0.115
       0:00.008	 -0.015	 -0.135
       0:00.016	 -0.045	 -0.125
       0:00.023	 -0.025	 -0.105
       0:00.031	 -0.035	 -0.115
       0:00.039	 -0.035	 -0.125
       0:00.047	 -0.015	 -0.115
       0:00.055	 -0.015	 -0.105
       0:00.063	 -0.045	 -0.115
       0:00.070	 -0.015	 -0.105
       0:00.078	 -0.015	 -0.105
       0:00.086	 -0.015	 -0.065
       0:00.094	 -0.005	 -0.075
       0:00.102	  0.025	 -0.085
       0:00.109	  0.025	 -0.095
       0:00.117	  0.055	 -0.085
       0:00.125	  0.045	 -0.085
       0:00.133	  0.045	 -0.095
       0:00.141	  0.035	 -0.105
       0:00.148	  0.015	 -0.105
       0:00.156	  0.015	 -0.095
       0:00.164	 -0.035	 -0.125
       0:00.172	 -0.045	 -0.135
       0:00.180	 -0.035	 -0.125
       0:00.188	 -0.065	 -0.135
       0:00.195	 -0.055	 -0.145
       0:00.203	 -0.065	 -0.135
       0:00.211	 -0.075	 -0.125
       0:00.219	 -0.055	 -0.135
       0:00.227	 -0.045	 -0.125
       0:00.234	 -0.075	 -0.125
       0:00.242	 -0.035	 -0.105
       0:00.250	 -0.035	 -0.105
       0:00.258	 -0.025	 -0.105
       0:00.266	  0.005	 -0.085
       0:00.273	  0.025	  0.005
       0:00.281	  0.235	  0.245
       0:00.289	  0.875	  0.385
       0:00.297	  1.415	  0.135
       0:00.305	  0.855	 -0.255
       0:00.313	 -0.215	 -0.815
       0:00.320	 -0.465	 -0.445
       0:00.328	 -0.165	 -0.055
       0:00.336	 -0.095	 -0.005
       0:00.344	 -0.095	 -0.045
       0:00.352	 -0.115	 -0.065
       0:00.359	 -0.115	 -0.075
       0:00.367	 -0.105	 -0.065
       0:00.375	 -0.095	 -0.065
       0:00.383	 -0.105	 -0.065
       0:00.391	 -0.105	 -0.065
       0:00.398	 -0.095	 -0.045
       0:00.406	 -0.095	 -0.045
       0:00.414	 -0.105	 -0.055
       0:00.422	 -0.105	 -0.055
       0:00.430	 -0.115	 -0.035
       0:00.438	 -0.105	 -0.035
       0:00.445	 -0.125	 -0.045
       0:00.453	 -0.115	 -0.035
       0:00.461	 -0.105	 -0.025
       0:00.469	 -0.075	 -0.025
       0:00.477	 -0.105	 -0.025
       0:00.484	 -0.105	 -0.015
       0:00.492	 -0.115	 -0.005
       0:00.500	 -0.135	 -0.015
       0:00.508	 -0.135	 -0.015
       0:00.516	 -0.155	 -0.025
       0:00.523	 -0.135	 -0.025
       0:00.531	 -0.155	 -0.035
       0:00.539	 -0.105	 -0.045
       0:00.547	 -0.155	 -0.065
       0:00.555	 -0.115	 -0.055
       0:00.563	 -0.105	 -0.065
       0:00.570	 -0.095	 -0.065
       0:00.578	 -0.065	 -0.065
       0:00.586	 -0.045	 -0.055
       0:00.594	 -0.025	 -0.055
       0:00.602	 -0.055	 -0.075
       0:00.609	 -0.025	 -0.085
       0:00.617	 -0.045	 -0.065
       0:00.625	 -0.075	 -0.085
       0:00.633	 -0.065	 -0.095
       0:00.641	 -0.065	 -0.085
